id,created_at,slug,name,remote_category
330,2013-07-11 02:59:36.000000,assistencia-tecnica/aparelho-de-som/philco,Assistências Técnicas para Aparelho de Som Philco,false
334,2013-07-11 02:59:36.000000,assistencia-tecnica/computador-desktop/toshiba/dentro-da-garantia,Assistências Técnicas para Computador Toshiba,false
338,2013-07-11 02:59:37.000000,assistencia-tecnica/dvd-blu-ray/outras/dentro-da-garantia,Assistências Técnicas para DVD / Blu Ray,false
342,2013-07-11 02:59:39.000000,assistencia-tecnica/micro-ondas/ge,Assistências Técnicas para Microondas GE,false
346,2013-07-11 02:59:39.000000,assistencia-tecnica/tablet/dl,Assistências Técnicas para Tablet DL,false
350,2013-07-11 02:59:42.000000,assistencia-tecnica/geladeira-e-freezer/consul/fora-da-garantia,Assistências Técnicas para Geladeira e Freezer Consul,false
354,2013-07-11 02:59:44.000000,assistencia-tecnica/celular/sony/fora-da-garantia,Assistências Técnicas para Celular Sony Ericsson,false
358,2013-07-11 02:59:46.000000,assistencia-tecnica/televisao/oac,Assistências Técnicas para TV OAC,false
362,2013-07-11 02:59:47.000000,assistencia-tecnica/computador-desktop/oac/dentro-da-garantia,Assistências Técnicas para Computador OAC,false
366,2013-07-11 02:59:48.000000,assistencia-tecnica/notebooks-e-laptops/apple/fora-da-garantia,Assistências Técnicas para Laptops e Notebooks Apple,false
370,2013-07-11 02:59:49.000000,assistencia-tecnica/celular/blackberry/fora-da-garantia,Assistências Técnicas para Celular Blackberry,false
374,2013-07-11 02:59:53.000000,assistencia-tecnica/fogao-e-cooktop/bosch,Assistências Técnicas para Fogão e Cooktop Bosch,false
378,2013-07-11 02:59:55.000000,assistencia-tecnica/micro-ondas/lg,Assistências Técnicas para Micro Ondas LG,false
382,2013-07-11 02:59:56.000000,assistencia-tecnica/ar-condicionado/outras/fora-da-garantia,Assistências Técnicas para Ar Condicionado,false
386,2013-07-11 02:59:58.000000,assistencia-tecnica/computador-desktop/hp/fora-da-garantia,Assistências Técnicas para Computador Hp,false
390,2013-07-11 02:59:58.000000,assistencia-tecnica/impressora/outras/fora-da-garantia,Assistências Técnicas para Impressoras,false
402,2013-07-11 03:00:03.000000,assistencia-tecnica/celular/nextel/fora-da-garantia,Assistências Técnicas para Celular Nextel,false
406,2013-07-11 03:00:05.000000,assistencia-tecnica/dvd-blu-ray/lg/dentro-da-garantia,Assistências Técnicas para DVD / Blu Ray LG,false
410,2013-07-11 03:00:06.000000,assistencia-tecnica/home-theater/lg,Assistências Técnicas para Home Theater LG,false
414,2013-07-11 03:00:06.000000,assistencia-tecnica/home-theater/lenoxx,Assistências Técnicas para Home Theater Lenoxx,false
418,2013-07-11 03:00:07.000000,assistencia-tecnica/micro-ondas/toshiba/dentro-da-garantia,Assistências Técnicas para Micro Ondas Toshiba,false
422,2013-07-11 03:00:10.000000,assistencia-tecnica/video-game/sony-playstation/fora-da-garantia,Assistências Técnicas para Videogame Sony Playstation,false
429,2013-07-11 03:00:12.000000,assistencia-tecnica/ar-condicionado/springer-carrier/fora-da-garantia,Assistências Técnicas para Ar Condicionado Springer Carrier,false
433,2013-07-11 03:00:13.000000,assistencia-tecnica/ar-condicionado/komeco/fora-da-garantia,Assistências Técnicas para Ar Condicionado Komeco,false
437,2013-07-11 03:00:14.000000,assistencia-tecnica/ar-condicionado/gree/fora-da-garantia,Assistências Técnicas para Ar Condicionado Gree,false
441,2013-07-11 03:00:17.000000,assistencia-tecnica/aparelho-de-som/lg/dentro-da-garantia,Assistências Técnicas para Aparelho de Som LG,false
445,2013-07-11 03:00:19.000000,assistencia-tecnica/aparelho-de-som/philips,Assistências Técnicas para Aparelho de Som Philips,false
449,2013-07-11 03:00:20.000000,assistencia-tecnica/dvd-blu-ray/samsung/fora-da-garantia,Assistências Técnicas para DVD / Blu Ray Samsung,false
453,2013-07-11 03:00:21.000000,assistencia-tecnica/eletrodomesticos/britania,Assistências Técnicas para Eletrodomésticos Britânia,false
457,2013-07-11 03:00:21.000000,assistencia-tecnica/eletrodomesticos/outras,Assistências Técnicas para Eletrodomésticos,false
461,2013-07-11 03:00:22.000000,assistencia-tecnica/telefone-nao-celular/outras/dentro-da-garantia,Assistências Técnicas para Telefone,false
465,2013-07-11 03:00:24.000000,assistencia-tecnica/computador-desktop/positivo,Assistências Técnicas para Computador Positivo,false
469,2013-07-11 03:00:25.000000,assistencia-tecnica/notebooks-e-laptops/positivo/dentro-da-garantia,Assistências Técnicas para Laptops e Notebooks Positivo,false
477,2013-07-11 03:00:27.000000,assistencia-tecnica/televisao/cce/fora-da-garantia,Assistências Técnicas para Televisor Cce,false
481,2013-07-11 03:00:30.000000,assistencia-tecnica/dvd-blu-ray/philco,Assistências Técnicas para DVD / Blu Ray Philco,false
485,2013-07-11 03:00:33.000000,assistencia-tecnica/televisao/sharp/fora-da-garantia,Assistências Técnicas para Televisor Sharp,false
489,2013-07-11 03:00:35.000000,assistencia-tecnica/aparelho-de-som/philco/fora-da-garantia,Assistências Técnicas para Aparelho de Som Philco,false
495,2013-07-11 03:00:38.000000,assistencia-tecnica/aparelho-de-som/philips/dentro-da-garantia,Assistências Técnicas para Aparelho de Som Philips,false
499,2013-07-11 03:00:42.000000,assistencia-tecnica/aparelho-de-som/gradiente/fora-da-garantia,Assistências Técnicas para Aparelho de Som Gradiente,false
503,2013-07-11 03:00:43.000000,assistencia-tecnica/aparelho-de-som/toshiba/fora-da-garantia,Assistências Técnicas para Aparelho de Som Toshiba,false
513,2013-07-11 03:00:45.000000,assistencia-tecnica/camera/canon,Assistências Técnicas para Câmera Canon,false
517,2013-07-11 03:00:46.000000,assistencia-tecnica/computador-desktop/dell,Assistências Técnicas para Computador Dell,false
521,2013-07-11 03:00:47.000000,assistencia-tecnica/geladeira-e-freezer/mabe,Assistências Técnicas para Geladeira e Freezer Mabe,false
525,2013-07-11 03:00:49.000000,assistencia-tecnica/telefone-nao-celular/intelbras,Assistências Técnicas para Telefone Intelbras,false
529,2013-07-11 03:00:50.000000,assistencia-tecnica/telefone-nao-celular/siemens,Assistências Técnicas para Telefone Siemens,false
533,2013-07-11 03:00:53.000000,assistencia-tecnica/aparelho-de-som/pioneer,Assistências Técnicas para Aparelho de Som Pioneer,false
537,2013-07-11 03:00:53.000000,assistencia-tecnica/dvd-blu-ray/pioneer/dentro-da-garantia,Assistências Técnicas para DVD / Blu Ray Pioneer,false
541,2013-07-11 03:00:55.000000,assistencia-tecnica/eletrodomesticos/brastemp/fora-da-garantia,Assistências Técnicas para Eletrodomésticos Brastemp,false
