id,request_id,city,uf,neighborhood,latitude,longitude
7286594,5960628,São Paulo,SP,Vila Maria Alta,-23.4978461,-46.5830325
7286706,5960731,Salvador,BA,Fazenda Grande do Retiro,-12.9479427,-38.4737191
7287034,5961031,Londrina,PR,Parque Jamaica,-23.3116357,-51.2014472
7287078,5961069,São Paulo,SP,Consolação,-23.5507503,-46.6531975
7287150,5961132,Porto Alegre,RS,Jardim Lindóia,-30.0077962,-51.1533783
7287258,5961225,Uberlândia,MG,Laranjeiras,-18.9659414,-48.2354497
7287326,5961281,Campinas,SP,Fazenda São Quirino,-22.8630432,-47.0259965
7287374,5961326,Rio de Janeiro,RJ,Freguesia (Ilha do Governador),-22.7951912,-43.1747222
7287514,5961451,Natal,RN,Mãe Luiza,-5.7928311,-35.1892525
7287578,5961510,Recife,PE,Boa Viagem,-8.1391429,-34.9046016
7287606,5961536,São Paulo,SP,Vila Carbone,-23.4948475,-46.679713
7287618,5961545,Rio de Janeiro,RJ,Pavuna,-22.8210724,-43.3530718
7287698,5961613,Santo André,SP,Campestre,-23.6372335,-46.5443312
7287738,5961649,São Paulo,SP,Vila Mariana,-23.5883936,-46.6424009
7287774,5961679,São Paulo,SP,Parque Boturussu,-23.5019628,-46.4886537
7287834,5961731,São Paulo,SP,Vila Divina Pastora,-23.6006146,-46.5277482
7287958,5961840,Rio de Janeiro,RJ,Grajaú,-22.9228833,-43.2667116
7290638,5962046,Betim,MG,Icaivera,-19.865461,-44.155067
7291542,5962096,Manaus,AM,São Raimundo,-3.1251677,-60.0380894
7291982,5962120,São Paulo,SP,Lajeado,-23.5411563,-46.4107331
7294758,5962296,Curitiba,PR,Boqueirão,-25.5007043,-49.2282375
7295854,5962360,Suzano,SP,Jardim Restinga,-23.6486348,-46.3291704
7297738,5962472,São Paulo,SP,Vila Cláudia,-23.5097909,-46.396519
7298078,5962496,Rio de Janeiro,RJ,Engenho de Dentro,-22.8935078,-43.2895633
7299026,5962557,Água Branca,PI,,-5.8889577,-42.637341
7299038,5962559,São José dos Campos,SP,Parque Residencial Aquarius,-23.2211253,-45.9101899
7299458,5962593,São Paulo,SP,Jardim Aracati,-23.7203194,-46.7705185
7300554,5962658,São Paulo,SP,Vila Zilda,-23.5346814,-46.56532
7301126,5962690,Recife,PE,Pina,-8.0879793,-34.8934873
7301346,5962706,Sapucaia do Sul,RS,Nova Sapucaia,-29.84457,-51.1350187
7302274,5962761,São Paulo,SP,Cerqueira César,-23.5562309,-46.6793341
7303190,5962817,São Paulo,SP,Jardim das Camélias,-23.5078853,-46.4612976
7304614,5962906,São José da Lapa,MG,,-19.6975859,-43.9590497
7304950,5962929,São Paulo,SP,Jardim Martini,-23.6788296,-46.667457
7305110,5962942,Natal,RN,Lagoa Azul,-5.7317608,-35.2730358
7306634,5963031,Blumenau,SC,Do Salto,-26.8817847,-49.1066275
7307362,5963083,Diadema,SP,Centro,-23.6884082,-46.617014
7307378,5963086,Natal,RN,Nossa Senhora da Apresentação,-5.7613059,-35.2713827
7310694,5963292,Taboão da Serra,SP,Jardim Monte Alegre,-23.6029177,-46.7663773
7311018,5963318,Nossa Senhora do Socorro,SE,,-10.8531643,-37.1269791
7311490,5963352,Rio de Janeiro,RJ,Oswaldo Cruz,-22.8817044,-43.3505177
7312190,5963392,Recife,PE,,-8.05976276236421,-34.8877803236246
7313450,5963523,São Paulo,SP,Vila Romana,-23.536522,-46.6963968
7313666,5963700,Rolândia,PR,Centro,-23.3121525,-51.3668236
7313782,5963798,São Paulo,SP,Cambuci,-23.5723168,-46.6242551
7313950,5963949,Joinville,SC,,-26.2989408744645,-48.8487208262086
7313974,5963973,Santo André,SP,Vila Curuçá,-23.6451855,-46.5203382
7314074,5964062,Guarulhos,SP,Parque Continental I,-23.4317442,-46.5546128
7314178,5964157,Rio de Janeiro,RJ,Vila Valqueire,-22.8844589,-43.3633642
7314226,5964203,Rio de Janeiro,RJ,Jardim Sulacap,-22.8852406,-43.400124
7314346,5964307,Santos,SP,Gonzaga,-23.9656516,-46.3369226
7314570,5964508,Luziânia,GO,Parque Estrela Dalva II,-16.2526026,-47.915199
7314590,5964526,Porto Alegre,RS,Auxiliadora,-30.0280952,-51.1882785
7314738,5964652,São Paulo,SP,Vila Leopoldina,-23.529014,-46.7294668
7314850,5964748,Vila Velha,ES,Praia de Itaparica,-20.3706383,-40.3043921
7314966,5964847,Florianópolis,SC,Capoeiras,-27.5923782,-48.602042
7315190,5965052,Fortaleza,CE,Demócrito Rocha,-3.7597308,-38.5645449
7315270,5965117,Hortolândia,SP,Jardim Amanda I,-22.8954661,-47.234653
7315282,5965127,São Paulo,SP,Jardim Artur Alvim,-23.5294748,-46.4876288
7315370,5965204,Rio de Janeiro,RJ,Campo Grande,-22.8818842,-43.5803544
7315374,5965208,Rio de Janeiro,RJ,Campo Grande,-22.8818842,-43.5803544
7315482,5965303,Nova Iguaçu,RJ,Prados Verdes,-22.8417164,-43.6105107
7315526,5965336,Rio de Janeiro,RJ,Vila Isabel,-22.9125813,-43.2446898
7315578,5965378,Santa Luzia,MG,São Cosme de Baixo (São Benedito),-19.7830953,-43.946481
7315590,5965387,Contagem,MG,Flamengo,-19.9638244,-44.0567635
7315606,5965402,Rio de Janeiro,RJ,Coelho Neto,-22.8327654,-43.3493192
7315638,5965432,São Paulo,SP,Cerqueira César,-23.5590139,-46.6611854
7315726,5965504,Olinda,PE,Varadouro,-8.019477,-34.8538024
7315766,5965538,Rio de Janeiro,RJ,Praça Seca,-22.8870327,-43.3496607
7315842,5965596,Rio de Janeiro,RJ,Quintino Bocaiúva,-22.8885884,-43.3253468
7316182,5965888,Belo Horizonte,MG,Nova Suíssa,-19.9317235,-43.9735393
7316246,5965940,Sorocaba,SP,Jardim Pagliato,-23.5247136,-47.4796333
7316254,5965947,Belo Horizonte,MG,Cachoeirinha,-19.8871824,-43.9489314
7316466,5966128,Rio de Janeiro,RJ,Méier,-22.91023,-43.2892968
7316542,5966192,São Paulo,SP,Parada XV de Novembro,-23.528811,-46.4341657
7316554,5966203,São Paulo,SP,,-23.4733128066705,-46.6254924237728
7316706,5966333,Salvador,BA,Periperi,-12.8594561,-38.4659971
7316850,5966459,Porto Alegre,RS,Guarujá,-30.1609851,-51.2168983
7316938,5966533,Antônio Dias,MG,,-19.653635,-42.8723393
7316946,5966540,São Paulo,SP,Santa Teresinha,-23.493501,-46.6384164
7317210,5966767,Joinville,SC,Vila Nova,-26.2978518,-48.9029902
7317310,5966851,Campinas,SP,Bonfim,-22.8992468,-47.0838911
7317462,5966980,São Paulo,SP,Cidade Monções,-23.6140151,-46.6869727
7317514,5967021,São Paulo,SP,Santo Amaro,-23.6520095,-46.6996909
7317614,5967100,Juiz de Fora,MG,Alto dos Passos,-21.7759419,-43.3459689
7317690,5967165,São Paulo,SP,Vila Buarque,-23.5464976,-46.6507901
7318226,5967617,Guarulhos,SP,Jardim Cumbica,-23.4472489,-46.440391
7318338,5967701,Taboão da Serra,SP,Jardim Maria Rosa,-23.6137323,-46.7688057
7318418,5967765,São Paulo,SP,Jardim Marilu,-23.4310783,-46.7235121
7318470,5967807,Rio de Janeiro,RJ,Botafogo,-22.9491015,-43.1825107
7318666,5967964,Guarulhos,SP,Cidade Soberana,-23.3925327,-46.4400246
7318918,5968185,Botucatu,SP,Colinas do Paraíso,-22.8531804,-48.4369719
7318946,5968209,Belo Horizonte,MG,Granja de Freitas,-19.907045,-43.8832374
7319058,5968312,São Paulo,SP,Burgo Paulista,-23.5198862,-46.4821316
7319134,5968385,Vitória,ES,Jardim Camburi,-20.2528918,-40.2676182
7319214,5968459,Rio de Janeiro,RJ,Barra da Tijuca,-22.9984177,-43.3326106
7319414,5968644,Florianópolis,SC,Centro,-27.5949808,-48.5527423
7319530,5968745,Recife,PE,Torrões,-8.0566167,-34.938137
7319922,5969087,Rio de Janeiro,RJ,Bento Ribeiro,-22.8739477,-43.3685407
7319938,5969101,São Paulo,SP,Pinheiros,-23.5602234,-46.6859678
7319950,5969111,São José do Rio Preto,SP,Parque Industrial,-20.8082346,-49.388207
7319978,5969137,Sabará,MG,Ana Lúcia,-19.8836515,-43.905692
7320114,5969264,Osasco,SP,Bandeiras,-23.5576842,-46.8130278
7320130,5969279,Praia Grande,SP,Aviação,-24.0138799,-46.4445465
7320158,5969303,Caieiras,SP,Laranjeiras,-23.3824871,-46.7162506
7320402,5969515,Goiânia,GO,Jardim Goiás,-16.7046545,-49.2337596
7320506,5969608,Mogi das Cruzes,SP,Jardim São Pedro,-23.5111219,-46.1523234
7320590,5969682,Recife,PE,Madalena,-8.0616406,-34.9075775
7320782,5969840,Aracaju,SE,Porto D'Antas,-10.877252,-37.0529188
7320862,5969910,Aracaju,SE,Luzia,-10.9419162,-37.0702265
7320874,5969920,São Paulo,SP,Jardim Lajeado,-23.512552,-46.4376403
7321146,5970156,São Paulo,SP,Vila Bertioga,-23.5632816,-46.5771241
7321270,5970261,Belo Horizonte,MG,Estoril,-19.9623529,-43.9653881
7321430,5970399,São Paulo,SP,Consolação,-23.5486954,-46.645422
7321478,5970441,São Paulo,SP,Vila Friburgo,-23.6903538,-46.7067824
7321562,5970513,Curitiba,PR,Cidade Industrial,-25.4513729,-49.3609508
7321874,5970774,Guarulhos,SP,,-23.4758825072302,-46.5391869843006
7321914,5970808,Guarulhos,SP,Vila Augusta,-23.4777512,-46.5417504
7321938,5970826,Rio de Janeiro,RJ,Bangu,-22.8690131,-43.4763564
7322138,5970999,Campinas,SP,,-22.8905793194138,-47.1109310165048
7369780,6012129,São Paulo,SP,Paraisópolis,-23.6157939,-46.7251988
7369800,6012149,São Paulo,SP,Vila Formosa,-23.5687313,-46.5365557
7370048,6012353,São Paulo,SP,Jardim Modelo,-23.4737967,-46.5737808
7370080,6012383,São Paulo,SP,Residencial Sol Nascente,-23.4367458,-46.7728153
7370280,6012560,Salvador,BA,,-12.9156089201686,-38.3474111929536
7370312,6012591,Curitiba,PR,Água Verde,-25.445606,-49.2857288
7370432,6012691,São Paulo,SP,Jardim São Luís (Zona Leste),-23.4988641,-46.3868624
7370516,6012759,Belém,PA,Terra Firme,-1.4530979,-48.4560313
7370612,6012845,Porto Alegre,RS,Camaquã,-30.1104068,-51.2409128
7370664,6012883,Salvador,BA,Armação,-12.9823752,-38.4371037
7370856,6013042,Rio de Janeiro,RJ,Jardim Sulacap,-22.8933651,-43.3974156
7370876,6013057,São Paulo,SP,Jardim Paulista,-23.563274,-46.6582198
7370880,6013061,Porto Alegre,RS,Jardim Botânico,-30.0560189,-51.172929
7370944,6013121,Araucária,PR,Costeira,-25.6106919,-49.3793759
7370952,6013126,São Bernardo do Campo,SP,Alvarenga,-23.740501,-46.5812875
7371072,6013229,Guarulhos,SP,Cocaia,-23.4396715,-46.5224774
7371128,6013277,Natal,RN,Cidade Alta,-5.787559,-35.206799
7371172,6013318,São Paulo,SP,Vila Moinho Velho,-23.6122059,-46.6039383
7371184,6013329,Rio de Janeiro,RJ,Campo Grande,-22.8832274,-43.54973
7371256,6013392,Joinville,SC,Aventureiro,-26.2503697,-48.8143623
7371300,6013429,Piracicaba,SP,Jardim Europa,-22.7150453,-47.6413706
7371328,6013454,Brasília,DF,Guará II,-15.826691,-47.9218204
7371484,6013594,Belo Horizonte,MG,Belvedere,-19.9716925,-43.9418568
7371664,6013753,São Bernardo do Campo,SP,Centro,-23.7187734,-46.5465451
7371740,6013817,São Paulo,SP,Belenzinho,-23.5458386,-46.5954331
7371952,6013991,São Paulo,SP,Parque Residencial Cocaia,-23.7429964,-46.6698313
7372036,6014065,Brasília,DF,Sul (Águas Claras),-15.8372013,-48.0258046
7372200,6014204,Guarulhos,SP,Vila Barros,-23.4539574,-46.5076484
7372300,6014287,Recife,PE,Madalena,-8.0556801,-34.9057163
7372396,6014375,Osasco,SP,Bela Vista,-23.548085,-46.7792927
7372624,6014565,Cachoeirinha,RS,,-29.9491025132732,-51.0794476792216
7372628,6014569,Curitiba,PR,Mossunguê,-25.4329031,-49.3252286
7372644,6014583,Rio de Janeiro,RJ,Taquara,-22.9140298,-43.3755966
7372776,6014696,Goiânia,GO,Parque Industrial de Goiânia,-16.6637214,-49.2307774
7372820,6014733,Sorocaba,SP,Jardim Jatobá,-23.5015299,-47.4525603
7372928,6014824,Belo Horizonte,MG,Barreiro,-19.9819755,-44.0187329
7373056,6014927,Porto Alegre,RS,Três Figueiras,-30.0312004,-51.171215
7373096,6014959,São Paulo,SP,Brás,-23.537221,-46.6190186
7373248,6015085,Vila Velha,ES,Alecrim,-20.3486985,-40.3426908
7373380,6015198,Florianópolis,SC,Jardim Atlântico,-27.5790026,-48.6012108
7373520,6015322,Mossoró,RN,Paredões,-5.1824566,-37.3367439
7373580,6015371,São Gonçalo,RJ,Nova Cidade,-22.8167357,-43.023788
7373676,6015453,Barreiras,BA,Centro,-12.1433022,-44.9945884
7373764,6015528,São Paulo,SP,Vila Andrade,-23.6211214,-46.7334144
7373976,6015705,Taboão da Serra,SP,Jardim Irapua,-23.6244147,-46.7808503
7374152,6015847,Campo Grande,MS,Vila Antônio Vendas,-20.4710523,-54.5979547
7374208,6015897,Chapecó,SC,,-27.0956559778407,-52.6713182777166
7374704,6016299,Rio de Janeiro,RJ,Vila Isabel,-22.9152116,-43.2425788
7374732,6016325,Sorocaba,SP,Morros,-23.5194772,-47.4285071
7374980,6016542,São Paulo,SP,Consolação,-23.5527302,-46.6539419
7375064,6016620,Rio de Janeiro,RJ,Curicica,-22.9579295,-43.3957628
7375072,6016628,São Paulo,SP,Saúde,-23.6200898,-46.6070677
7375160,6016709,Marituba,PA,,-1.3603782,-48.3424868
7375176,6016725,Lauro de Freitas,BA,,-12.8820575,-38.3148204
7375336,6016871,Rio de Janeiro,RJ,Botafogo,-22.9553289,-43.1752879
7375368,6016896,Americana,SP,Cidade Jardim II,-22.7620992,-47.3336961
7375384,6016910,Salvador,BA,Stiep,-12.9775601,-38.447479
7375660,6017155,Rio de Janeiro,RJ,Tanque,-22.9137543,-43.3685986
7375906,6017376,Diadema,SP,Serraria,-23.7058945,-46.6117336
7376118,6017567,Rio de Janeiro,RJ,Centro,-22.9009305,-43.1836418
7376134,6017580,Jundiaí,SP,Horto Santo Antonio,-23.1867271,-46.9185674
7376166,6017609,Brasília,DF,Asa Norte,-15.7714414,-47.8940017
7376378,6017786,Rio de Janeiro,RJ,Bangu,-22.8665978,-43.4630737
7376434,6017833,Natal,RN,Lagoa Azul,-5.7344725,-35.2661906
7376594,6017973,Osasco,SP,Veloso,-23.5589755,-46.8017485
7376622,6017999,Brasília,DF,Setor de Mansões de Sobradinho,-15.6344802,-47.8321807
